	yearPub	numWords	sizeCat	reprintCount	timeSlot	aggregated	prediction
Trollope	0.36383752352673804	1.0	1.0	1.0	1.0	0.8727675047053477	0.1272324952946523
Ouida	0.2780194349425633	0.665788789829981	0.5	1.0	1.0	0.6887616449545089	0.31123835504549113
Ward	0.432574639622488	0.9680620969640621	1.0	0.0	1.0	0.68012734731731	0.31987265268269005
Wells	0.3389285620647957	0.4018579419882948	0.5	1.0	1.0	0.6481573008106182	0.3518426991893818
Nesbit	0.3281937825994661	0.10262050166507031	0.0	1.0	1.0	0.4861628568529072	0.5138371431470927
Disraeli	1.0	0.0023265568710057194	0.0	0.0	1.0	0.40046531137420116	0.5995346886257988
Yonge	0.17529723042663312	0.3656814673218301	0.0	0.0	1.0	0.30819573954969265	0.6918042604503074
Eliot	0.13264050089048326	0.8394062388560191	0.5	0.0	0.0	0.2944093479493005	0.7055906520506995
Dickens	0.0	0.9286712169659057	0.0	0.0	0.0	0.18573424339318115	0.8142657566068189
Broughton	0.017199400570097556	0.0	0.0	0.0	0.0	0.003439880114019511	0.9965601198859805
