	yearPub	numWords	sizeCat	reprintCount	timeSlot	aggregated
Kielland	0.0	0.0	0.0	0.0	0.0	0.0
Finne	0.0	0.06374645690204989	0.0	0.0	0.0	0.012749291380409977
Krag	0.0	0.250117185542161	0.5	0.0	0.0	0.1500234371084322
Skram	0.25925925925925924	0.07702275937918898	0.5	0.0	0.0	0.16725640372768963
Jølsen	0.907974123861575	0.024532778565430874	0.0	0.0	0.0	0.18650138048540119
Duun	0.0	0.6443540013601787	1.0	0.0	0.0	0.32887080027203575
Bjørnson	0.09799078929868853	0.3924992201971931	0.5	0.0	1.0	0.3980980018991763
Jæger	0.5455896245428236	0.4925125531949336	0.0	0.0	1.0	0.40762043554755145
Lie	0.40061680838488767	0.5421629862453409	0.5	0.0	1.0	0.4885559589260457
Undset	0.9999999999999999	0.5674072154456858	1.0	0.0	0.0	0.5134814430891371
Garborg	0.34471315683307935	1.0	1.0	1.0	1.0	0.8689426313666159
