	yearPub	numWords	sizeCat	reprintCount	timeSlot	aggregated	prediction
Zapolska	0.0	0.12256328544456183	0.5	1.0	1.0	0.5245126570889124	0.47548734291108763
Reymont	0.0	0.9999999999999999	0.5	0.0	1.0	0.5	0.5
Orzeszkowa	0.0	0.3986782153710694	0.5	0.0	1.0	0.37973564307421387	0.6202643569257862
Żeromski	0.0	0.3332089803350696	0.5	0.0	1.0	0.3666417960670139	0.6333582039329861
Dygasiński	0.0	0.2595990611111635	0.5	1.0	0.0	0.3519198122222327	0.6480801877777673
Kraszewski	0.0	0.24768812622288475	0.5	0.0	1.0	0.34953762524457693	0.650462374755423
Łuszczewska	0.0	0.17162265106262906	0.5	0.0	1.0	0.33432453021252584	0.6656754697874742
Bałucki	0.0	0.09337324849403575	0.5	0.0	1.0	0.31867464969880716	0.6813253503011929
Rodziewiczówna	0.0	0.05298142209628792	0.5	0.0	1.0	0.3105962844192576	0.6894037155807424
Kaczkowski	0.0	0.5232771108711111	0.0	0.0	1.0	0.30465542217422226	0.6953445778257777
Sygietyński	0.0	0.012458677414652376	0.5	0.0	1.0	0.3024917354829305	0.6975082645170695
Dmochowska	0.0	0.33795052678916837	1.0	0.0	0.0	0.2675901053578337	0.7324098946421663
Godlewska	0.0	0.23078848124104365	1.0	0.0	0.0	0.24615769624820874	0.7538423037517913
Witkiewicz	0.0	0.6863664577243763	0.5	0.0	0.0	0.23727329154487525	0.7627267084551248
Świętochowski	0.0	0.06187412257725121	0.0	0.0	1.0	0.21237482451545026	0.7876251754845498
Papi	0.0	0.05478139965692834	0.0	0.0	1.0	0.2109562799313857	0.7890437200686143
Łoziński	0.0	0.03442275383683327	0.0	0.0	1.0	0.20688455076736667	0.7931154492326333
Morawska	0.0	0.0	0.0	0.0	1.0	0.2	0.8
Mniszek	0.0	0.4747922781782917	0.5	0.0	0.0	0.19495845563565833	0.8050415443643417
Strug	0.0	0.27638544032019874	0.5	0.0	0.0	0.15527708806403975	0.8447229119359603
Grot-Bęczkowska	0.0	0.15441053368629318	0.5	0.0	0.0	0.13088210673725864	0.8691178932627414
Berent	0.0	0.13231181631395275	0.5	0.0	0.0	0.12646236326279053	0.8735376367372094
Weyssenhoff	0.0	0.11535709363634786	0.5	0.0	0.0	0.12307141872726957	0.8769285812727304
Krzemieniecka	0.0	0.11189545145691981	0.5	0.0	0.0	0.12237909029138397	0.8776209097086161
Domańska	0.0	0.07282133701463166	0.5	0.0	0.0	0.11456426740292633	0.8854357325970736
Żmichowska	0.0	0.07116591028079552	0.5	0.0	0.0	0.11423318205615911	0.8857668179438409
Dołęga	0.0	0.02960329038187548	0.5	0.0	0.0	0.1059206580763751	0.8940793419236249
Prus	0.0	0.5231357547627579	0.0	0.0	0.0	0.10462715095255157	0.8953728490474484
Sienkiewicz	0.0	0.4177898287804679	0.0	0.0	0.0	0.08355796575609357	0.9164420342439065
Korzeniowski	0.0	0.3637988892024815	0.0	0.0	0.0	0.0727597778404963	0.9272402221595037
Grabiński	0.0	0.10021365162080267	0.0	0.0	0.0	0.020042730324160533	0.9799572696758395
Żuławski	0.0	0.0471579194563399	0.0	0.0	0.0	0.00943158389126798	0.990568416108732
Marrené-Morzkowska	0.0	0.035125131542442026	0.0	0.0	0.0	0.007025026308488405	0.9929749736915116
