	yearPub	numWords	sizeCat	reprintCount	timeSlot	aggregated
Popescu	0.976577546180386	0.9999999999999998	1.0	0.0	1.0	0.7953155092360771
Bolintineanu	1.0	0.30378212107185043	0.5	1.0	1.0	0.7607564242143701
Zamfirescu	0.43390275977259196	0.2429447030880309	0.5	1.0	0.0	0.43536949257212465
Slavici	0.9094836413191612	0.2993716491492681	0.5	0.0	0.0	0.34177105809368585
Pop-Florantin	0.56382730917179	0.4484797502166698	0.5	0.0	0.0	0.30246141187769193
Nadejde	0.20030840419244386	0.25294861065003843	0.0	1.0	0.0	0.29065140296849645
Moruzi	0.19245008972987526	0.615243389255546	0.5	0.0	0.0	0.2615386957970843
Ionescu	0.0	0.3747440967542479	0.5	0.0	0.0	0.17494881935084958
Lecca	0.6186404847588913	0.0	0.0	0.0	0.0	0.12372809695177826
Demetrius	0.0	0.1686979284304697	0.0	0.0	0.0	0.03373958568609394
