filename	xmlid	authorlabel	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
DEU002	DEU002	Auerbach	Auerbach, Berthold	Der Lehnhold	1812	1882	http://d-nb.info/gnd/11865103X	NA	NA	NA	de	66067	NA	NA	M	medium	low	T1
DEU008	DEU008	Auerbach	Auerbach, Berthold	Der Lautenbacher	1812	1882	http://d-nb.info/gnd/11865103X	NA	NA	NA	de	31603	NA	NA	M	short	low	T1
DEU013	DEU013	Auerbach	Auerbach, Berthold	Barfüßele	1812	1882	http://d-nb.info/gnd/11865103X	NA	1856	NA	de	76008	NA	NA	M	medium	low	T1
DEU063	DEU063	Dohm	Dohm, Hedwig	Wie Frauen werden	1831	1919	http://d-nb.info/gnd/11852643X	NA	1894	NA	de	38398	NA	NA	F	short	low	T3
DEU073	DEU073	Dohm	Dohm, Hedwig	Schicksale einer Seele	1831	1919	http://d-nb.info/gnd/11852643X	NA	1899	NA	de	104561	NA	NA	F	long	low	T3
DEU057	DEU057	Dohm	Dohm, Hedwig	Sibilla Dalmar	1831	1919	http://d-nb.info/gnd/11852643X	NA	1896	NA	de	97263	NA	NA	F	medium	low	T3
DEU100	DEU100	Ebner-Eschenbach	Ebner-Eschenbach, Marie von              	Agave	1830	1916	http://d-nb.info/gnd/118528661	NA	NA	NA	de	51704	NA	NA	F	medium	high	T4
DEU027	DEU027	Ebner-Eschenbach	Ebner-Eschenbach, Marie von              	Bozena	1830	1916	http://d-nb.info/gnd/118528661	NA	1876	NA	de	76679	NA	NA	F	medium	high	T2
DEU058	DEU058	Ebner-Eschenbach	Ebner-Eschenbach, Marie von              	Lotti, die Uhrmacherin	1830	1916	http://d-nb.info/gnd/118528661	NA	1880	NA	de	41591	NA	NA	F	short	high	T3
DEU070	DEU070	Fontane	Fontane, Theodor	Schach von Wuthenow	1819	1898	http://d-nb.info/gnd/118534262	NA	1882	NA	de	50542	NA	NA	M	medium	high	T3
DEU046	DEU046	Fontane	Fontane, Theodor	Grete Minde	1819	1898	http://d-nb.info/gnd/118534262	NA	1879	NA	de	39821	NA	NA	M	short	high	T2
DEU059	DEU059	Fontane	Fontane, Theodor	Irrungen, Wirrungen	1819	1898	http://d-nb.info/gnd/118534262	NA	Juli-August 1887	NA	de	63334	NA	NA	M	medium	high	T3
DEU088	DEU088	Fontane	Fontane, Theodor	Mathilde Möhring	1819	1898	http://d-nb.info/gnd/118534262	NA	1906	NA	de	40323	NA	NA	M	short	high	T4
DEU053	DEU053	Fontane	Fontane, Theodor	Graf Petöfy	1819	1898	http://d-nb.info/gnd/118534262	NA	Juli-August 1884	NA	de	71428	NA	NA	M	medium	high	T3
DEU066	DEU066	Fontane	Fontane, Theodor	Der Stechlin	1819	1898	http://d-nb.info/gnd/118534262	NA	1897/98	NA	de	154063	NA	NA	M	long	high	T3
DEU071	DEU071	Fontane	Fontane, Theodor	Cécile	1819	1898	http://d-nb.info/gnd/118534262	NA	1886	NA	de	67507	NA	NA	M	medium	high	T3
DEU051	DEU051	Fontane	Fontane, Theodor	Unterm Birnbaum	1819	1898	http://d-nb.info/gnd/118534262	NA	August-September 1885	NA	de	40316	NA	NA	M	short	high	T3
DEU035	DEU035	Fontane	Fontane, Theodor	Vor dem Sturm	1819	1898	http://d-nb.info/gnd/118534262	NA	Januar- September 1878	NA	de	269471	NA	NA	M	long	high	T2
DEU028	DEU028	François	François, Louise von	Die letzte Reckenburgerin	1817	1893	http://d-nb.info/gnd/118692577	NA	NA	NA	de	108606	NA	NA	F	long	unspecified	T2
