filename	xmlid	authorlabel	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
ENG18901_Broughton	ENG18901	Broughton	Broughton, Rhoda	Alas! A Novel	1840	1920	https://viaf.org/viaf/45106836/	NA	1890	NA	eng	149508	NA	NA	F	long	low	T3
ENG18871_Broughton	ENG18871	Broughton	Broughton, Rhoda	Red as a rose is she	1840	1920	https://viaf.org/viaf/45106836/	Digital Library Program, Indiana University	1887	NA	eng	136391	NA	NA	F	long	low	T3
ENG18830_Broughton	ENG18830	Broughton	Broughton, Rhoda	Belinda: A Novel	1840	1920	https://viaf.org/viaf/45106836/	Chadwyck-Healey Ltd (A Bell & Howell Information and Learning company)	1883	NA	eng	138769	NA	NA	F	long	low	T3
ENG18540_Dickens	ENG18540	Dickens	Dickens, Charles	Hard Times: For These Times	1812	1870	https://viaf.org/viaf/88666393/	NA	1854	NA	eng	104105	NA	NA	M	long	high	T1
ENG18800_Disraeli	ENG18800	Disraeli	Disraeli, Benjamin	Endymion	1804	1881	https://viaf.org/viaf/49233448/	NA	1880	NA	eng	171240	NA	NA	M	long	low	T3
ENG18440_Disraeli	ENG18440	Disraeli	Disraeli, Benjamin	Coningsby: or, The New Generation	1804	1881	https://viaf.org/viaf/49233448/	Chadwyck-Healey Ltd (A Bell & Howell Information and Learning company)	1844	NA	eng	159046	NA	NA	M	long	low	T1
ENG18450_Disraeli	ENG18450	Disraeli	Disraeli, Benjamin	Sybil, Or the Two Nations	1804	1881	https://viaf.org/viaf/49233448/	NA	1845	NA	en	158160	NA	NA	M	long	low	T1
ENG18660_Eliot	ENG18660	Eliot	Eliot, George [pseud.]	Felix Holt, the Radical	1819	1880	https://viaf.org/viaf/89000553/	Chadwyck-Healey Ltd (A Bell & Howell Information and Learning company)	1866	NA	eng	181371	NA	NA	F	long	high	T2
ENG18721_Eliot	ENG18721	Eliot	Eliot, George [pseud.]	Middlemarch: ELTeC edition 	1819	1880	https://viaf.org/viaf/89000553/	NA	1872	NA	en	316163	NA	NA	F	long	high	T2
ENG18610_Eliot	ENG18610	Eliot	Eliot, George [pseud.]	Silas Marner: The Weaver of Raveloe	1819	1880	https://viaf.org/viaf/89000553/	Chadwyck-Healey Ltd (A Bell & Howell Information and  Learning company)	1861	NA	en	71043	NA	NA	F	medium	high	T2
ENG18890_Nesbit	ENG18890	Nesbit	Nesbit, Edith	The Prophet's Mantle	1858	1924	https://viaf.org/viaf/7394811/	NA	1889	NA	eng	97965	NA	NA	F	medium	low	T3
ENG19020_Nesbit	ENG19020	Nesbit	Nesbit, Edith	The Red House	1858	1924	https://viaf.org/viaf/7394811/	Digital Library Program, Indiana University	1902	NA	eng	56931	NA	NA	F	medium	low	T4
ENG19060_Nesbit	ENG19060	Nesbit	Nesbit, Edith	The Story of the Amulet	1858	1924	https://viaf.org/viaf/7394811/	Digital Library Program, Indiana University	1906	NA	eng	68607	NA	NA	F	medium	high	T4
ENG18670_Ouida	ENG18670	Ouida	Ouida, [pseud.]	Under Two Flags: A Story of the Household and the Desert	1839	1908	https://viaf.org/viaf/34490941/	Chadwyck-Healey Ltd (A Bell & Howell Information and Learning company)	1867	NA	eng	246466	NA	NA	F	long	high	T2
ENG18740_Ouida	ENG18740	Ouida	Ouida, [pseud.]	Two Little Wooden Shoes: A Sketch	1839	1908	https://viaf.org/viaf/34490941/	NA	1874	NA	en	54444	NA	NA	F	medium	low	T2
ENG18831_Ouida	ENG18831	Ouida	Ouida, [pseud.]	Folle-Farine	1839	1908	https://viaf.org/viaf/34490941/	Digital Library Program, Indiana University	1883	NA	eng	190954	NA	NA	F	long	low	T3
ENG18551_Trollope	ENG18551	Trollope	Trollope, Anthony	The Warden	1815	1882	https://viaf.org/viaf/61683295/	Chadwyck-Healey   Ltd (A Bell & Howell Information and Learning   company)	1855	NA	en	71911	NA	NA	M	medium	high	T1
ENG18650_Trollope	ENG18650	Trollope	Trollope, Anthony	Can You Forgive Her?	1815	1882	https://viaf.org/viaf/61683295/	NA	1865	NA	en	305740	NA	NA	M	long	high	T2
ENG18742_Trollope	ENG18742	Trollope	Trollope, Anthony	Harry Heathcote of Gangoil : ELTec edition	1815	1882	https://viaf.org/viaf/61683295/	NA	1874	NA	eng	40527	NA	NA	M	short	low	T2
ENG18951_Ward	ENG18951	Ward	Ward, Humphry, Mrs.	The Story of Bessie Costrell	1851	1920	https://viaf.org/viaf/27084321/	Digital Library Program, Indiana University	1895	NA	eng	23459	NA	NA	F	short	low	T3
ENG18880_Ward	ENG18880	Ward	Ward, Humphry, Mrs.	Robert Elsmere : ELTec edition	1851	1920	https://viaf.org/viaf/27084321/	NA	1888	NA	eng	284920	NA	NA	F	long	low	T3
ENG19091_Ward	ENG19091	Ward	Ward, Humphry, Mrs.	Daphne, or Marriage a la Mode	1851	1920	https://viaf.org/viaf/27084321/	Digital Library Program, Indiana University	1909	NA	eng	64992	NA	NA	F	medium	low	T4
