filename	xmlid	authorlabel	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
FRA00503_Balzac	FRA00503	Balzac	Balzac, Honoré de	Le curé de village	1799	1850	viaf:29529595 wikidata:Q9711	Éfélé	1854	viaf:177407570 wikidata:Q2718088	fr	93205	NA	heterodiegetic	M	medium	high	T1
FRA00501_Balzac	FRA00501	Balzac	Balzac, Honoré de	Albert Savarus	1799	1850	viaf:29529595 wikidata:Q9711	Éfélé	1853	viaf:174178728 wikidata:Q2740921	fr	42274	NA	heterodiegetic	M	short	high	T1
FRA00502_Balzac	FRA00502	Balzac	Balzac, Honoré de	Le cousin Pons	1799	1850	viaf:29529595 wikidata:Q9711	Éfélé	1851-1853	viaf:305992935 wikidata:Q2699195	fr	111052	NA	heterodiegetic	M	long	high	T1
FRA01302_Flaubert	FRA01302	Flaubert	Flaubert, Gustave	Madame Bovary	1821	1880	viaf:9846192 wikidata:Q43444	Ebooks libres et gratuits	1857	viaf:186570439 wikidata:Q193417	fr	120122	NA	heterodiegetic	M	long	high	T1
FRA01303_Flaubert	FRA01303	Flaubert	Flaubert, Gustave	Salammbô	1821	1880	viaf:9846192 wikidata:Q43444	Wikisource	1862	viaf:176014945 wikidata:Q117182	fr	105395	NA	heterodiegetic	M	long	high	T2
FRA01301_Flaubert	FRA01301	Flaubert	Flaubert, Gustave	L'Éducation sentimentale	1821	1880	viaf:9846192 wikidata:Q43444	(unspecified)	1869-1870	viaf:180462896 wikidata:missing	fr	149810	NA	heterodiegetic	M	long	high	T2
FRA01403_Fleuriot	FRA01403	Fleuriot	Fleuriot, Zénaïde	Alberte	1829	1890	viaf:41872490 wikidata:Q3086433	Bibliothèque électronique du Québec (BEQ)	1881	viaf:unavailable worldcat:944664084	fr	64213	NA	heterodiegetic	F	medium	low	T3
FRA01401_Fleuriot	FRA01401	Fleuriot	Fleuriot, Zénaïde	Un enfant gâté	1829	1890	viaf:41872490 wikidata:Q3086433	Bibliothèque électronique du Québec (BEQ)	1877	viaf:missing wikidata:missing	fr	35076	NA	heterodiegetic	F	short	low	T2
FRA01402_Fleuriot	FRA01402	Fleuriot	Fleuriot, Zénaïde	En congé	1829	1890	viaf:41872490 wikidata:Q3086433	Bibliothèque électronique du Québec (BEQ)	1874	oclc:561075297 viaf:unavailable wikidata:missing	fr	38021	NA	autodiegetic	F	short	low	T2
FRA01202_Feval	FRA01202	Féval	Féval, Paul Henri Corentin [dit Paul Féval père]	Les Errants de nuit	1816	1887	viaf:17222447 wikidata:Q472568	Ebooks libres et gratuits	1857	viaf:unavailable wikidata:missing	fr	103086	NA	heterodiegetic	M	long	low	T1
FRA01203_Feval	FRA01203	Féval	Féval, Paul Henri Corentin [dit Paul Féval père]	le Loup blanc	1816	1887	viaf:17222447 wikidata:Q472568	Ebooks libres et gratuits	1845	viaf:644145424532886830955 wikidata:Q3224087	fr	80201	NA	heterodiegetic	M	medium	high	T1
FRA01201_Feval	FRA01201	Féval	Féval, Paul Henri Corentin [dit Paul Féval père]	Le Cavalier Fortune	1816	1887	viaf:17222447 wikidata:Q472568	Ebooks libres et gratuits	1868	viaf:unavailable wikidata:missing	fr	136999	NA	heterodiegetic	M	long	low	T2
FRA01602_GautierJ	FRA01602	Gautier	Gautier, Judith	Fleurs d'Orient	1845	1917	viaf:54148064 wikidata:Q2523100	Wikisource	1893	viaf:missing wikidata:Q19171123	fr	51537	NA	heterodiegetic	F	medium	low	T3
FRA01601_GautierJ	FRA01601	Gautier	Gautier, Judith	La Sœur du Soleil	1845	1917	viaf:54148064 wikidata:Q2523100	Wikisource	1887	viaf:3075147270505335700009 wikidata:Q19189680	fr	107267	NA	heterodiegetic	F	long	high	T3
FRA01603_GautierJ	FRA01603	Gautier	Gautier, Judith	Les Princesses d'Amour : courtisanes japonaises	1845	1917	viaf:54148064 wikidata:Q2523100	Wikisource	1900	viaf:missing wikidata:Q19212715	fr	29460	NA	heterodiegetic	F	short	high	T4
FRA02203_Gouraud	FRA02203	Gouraud	Gouraud, Julie [Louise d'Aulnay]	Les Filles du professeur	1810	1891	viaf:31987653 wikidata:Q18115130	Bibliothèque électronique du Québec (BEQ)	1876	viaf:unavailable wikidata:missing	fr	45477	NA	heterodiegetic	M	short	low	T2
FRA02202_Gouraud	FRA02202	Gouraud	Gouraud, Julie [Louise d'Aulnay]	Le petit colporteur	1810	1891	viaf:31987653 wikidata:Q18115130	Bibliothèque électronique du Québec (BEQ)	1867	viaf:314022921 wikidata:missing	fr	43357	NA	heterodiegetic	M	short	low	T2
FRA02201_Gouraud	FRA02201	Gouraud	Gouraud, Julie [Louise d'Aulnay]	Quand je serai grande	1810	1891	viaf:31987653 wikidata:Q18115130	Bibliothèque électronique du Québec (BEQ)	1888	oclc:559725443 viaf:unavailable wikidata:missing	fr	45701	NA	heterodiegetic	M	short	low	T3
FRA02303_Greville	FRA02303	Gréville	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand]	Ariadne	1842	1902	viaf:49258322 wikidata:Q2266038	Bibliothèque électronique du Québec (BEQ)	1878	viaf:missing wikidata:missing	fr	52698	NA	heterodiegetic	F	short	low	T2
FRA02302_Greville	FRA02302	Gréville	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand]	L'amie	1842	1902	viaf:49258322 wikidata:Q2266038	Bibliothèque électronique du Québec (BEQ)	1878	viaf:missing wikidata:missing	fr	56987	NA	heterodiegetic	F	medium	low	T2
FRA02301_Greville	FRA02301	Gréville	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand]	La seconde mère	1842	1902	viaf:49258322 wikidata:Q2266038	Bibliothèque électronique du Québec (BEQ)	1888	viaf:missing wikidata:missing	fr	60048	NA	heterodiegetic	F	medium	low	T3
FRA02603_Malot	FRA02603	Malot	Malot, Hector	Conscience	1830	1907	viaf:49228546 wikidata:Q315003	Bibliothèque électronique du Québec (BEQ)	1888	viaf:310221173 wikidata:Q21231298	fr	105754	NA	heterodiegetic	M	long	low	T3
FRA02601_Malot	FRA02601	Malot	Malot, Hector	Romain Kalbris	1830	1907	viaf:49228546 wikidata:Q315003	Bibliothèque électronique du Québec (BEQ)	1869	viaf:312349317 wikidata:Q21426780	fr	70236	NA	autodiegetic	M	medium	high	T2
FRA02602_Malot	FRA02602	Malot	Malot, Hector	Sans famille	1830	1907	viaf:49228546 wikidata:Q315003	Bibliothèque électronique du Québec (BEQ)	1878	viaf:186540937 wikidata:Q1570068	fr	123735	NA	autodiegetic	M	long	high	T2
FRA03003_Ohnet	FRA03003	Ohnet	Ohnet, Georges	Le Marchand de Poison	1848	1918	viaf:66497284 wikidata:Q1393388	Project Gutenberg	1894	viaf:308106335 wikidata:missing	fr	50561	NA	heterodiegetic	M	medium	low	T3
FRA03001_Ohnet	FRA03001	Ohnet	Ohnet, Georges	La Grande Marnière	1848	1918	viaf:66497284 wikidata:Q1393388	Project Gutenberg	1885	viaf:missing wikidata:missing	fr	115270	NA	heterodiegetic	M	long	low	T3
FRA03002_Ohnet	FRA03002	Ohnet	Ohnet, Georges	L'Âme de Pierre	1848	1918	viaf:66497284 wikidata:Q1393388	Project Gutenberg	1890	viaf:307993357 wikidata:Q19176918	fr	53382	NA	heterodiegetic	M	medium	low	T3
FRA03704_Sand	FRA03704	Sand	Sand, George [Amantine Lucile Aurore Dupin]	Horace	1804	1876	viaf:46766944 wikidata:Q3816	Computational Literary Genre Stylistics (CLiGS)	1840	viaf:309259313 wikidata:Q40125295	fr	133214	NA	homodiegetic	F	long	high	T1
FRA03702_Sand	FRA03702	Sand	Sand, George [Amantine Lucile Aurore Dupin]	Le dernier amour	1804	1876	viaf:46766944 wikidata:Q3816	Bibliothèque électronique du Québec (BEQ)	1867	viaf:1327145424598486831029 wikidata:Q19194266	fr	88169	NA	autodiegetic	F	medium	high	T2
FRA03701_Sand	FRA03701	Sand	Sand, George [Amantine Lucile Aurore Dupin]	Nanon	1804	1876	viaf:46766944 wikidata:Q3816	Bibliothèque électronique du Québec (BEQ)	1872	viaf:204615801 wikidata:missing	fr	101919	NA	autodiegetic	F	long	high	T2
