filename	xmlid	authorlabel	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
HU00642	HU00642	EötvösJózsef	Eötvös József	A falu jegyzője	1813	1871	viaf:64044769	Magyar Elektronikus Könyvtárért Egyesület	1845	NA	hu	206761	NA	NA	M	long	high	T1
HU04774	HU04774	EötvösJózsef	Eötvös József	Magyarország 1514-ben : Regény	1813	1871	viaf:64044769	Magyar Elektronikus Könyvtárért Egyesület	1847	NA	hu	201018	NA	NA	M	long	high	T1
HU03130	HU03130	EötvösJózsef	Eötvös József	A karthauzi	1813	1871	viaf:64044769	Magyar Elektronikus Könyvtárért Egyesület	1842	NA	hu	127812	NA	NA	M	long	high	T1
HU00662	HU00662	GárdonyiGéza	Gárdonyi Géza	A láthatatlan ember : Történelmi regény	1863	1922	viaf:24643507	Magyar Elektronikus Könyvtárért Egyesület	1901	NA	hu	76646	NA	NA	M	medium	high	T4
HU13387	HU13387	GárdonyiGéza	Gárdonyi Géza	Egri csillagok: Bornemissza Gergely élete: ELTeC edition	1863	1922	viaf:24643507	Magyar Elektronikus Könyvtárért Egyesület	1901	NA	hu	138886	NA	NA	M	long	high	T4
HU06982	HU06982	GárdonyiGéza	Gárdonyi Géza	A lámpás : Regény	1863	1922	viaf:24643507	Magyar Elektronikus Könyvtárért Egyesület	1895	NA	hu	14590	NA	NA	M	short	high	T3
HU02204	HU02204	JókaiMór	Jókai Mór	A kétszarvú ember	1825	1904	viaf:59084200	Magyar Elektronikus Könyvtárért Egyesület	1852	NA	hu	32893	NA	NA	M	short	high	T1
HU05573	HU05573	JókaiMór	Jókai Mór	És mégis mozog a föld	1825	1904	viaf:59084200	Magyar Elektronikus Könyvtárért Egyesület	1873	NA	hu	285818	NA	NA	M	long	high	T2
HU05572	HU05572	JókaiMór	Jókai Mór	Egy magyar nábob : 1853-54	1825	1904	viaf:59084200	Magyar Elektronikus Könyvtárért Egyesület	1854	NA	hu	139820	NA	NA	M	long	high	T1
HU17873	HU17873	JósikaJúlia	Jósika Júlia	Az élet esélyei: Regény: ELTeC edition 	1813	1893	46218998	Magyar Elektronikus Könyvtárért Egyesület	1864	NA	hu	28349	NA	NA	F	short	low	T2
HU17910	HU17910	JósikaJúlia	Jósika Júlia	Konrád	1813	1893	viaf:46218998	Magyar Elektronikus Könyvtárért Egyesület	1872	NA	hu	38707	NA	NA	F	short	low	T2
HU18964	HU18964	JósikaJúlia	Jósika Júlia	Családélet	1813	1893	viaf:46218998	Magyar Elektronikus Könyvtárért Egyesület	1862	NA	hu	56940	NA	NA	F	medium	low	T2
HU00731	HU00731	KeményZsigmond	Kemény Zsigmond	Szerelem és hiúság	1814	1875	viaf:54141095	Magyar Elektronikus Könyvtárért Egyesület	1876	NA	hu	22783	NA	NA	M	short	high	T2
