filename	xmlid	authorlabel	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
NOR0065_Bjornson_Synnove_Solbakken_tekst	NOR0065	Bjørnson	Bjørnson, Bjørnstjerne Matrtinius 	Synnøve Solbakken	1832	1910	https://viaf.org/viaf/295290572 https://www.wikidata.org/wiki/Q46405	NA	   1857  	NA	nb	33120	NA	NA	M	short	high	T1
NOR0010_Bjornson_EnGladGut_tekst	NOR0010	Bjørnson	Bjørnson, Bjørnstjerne Matrtinius 	En Glad Gut	1832	1910	https://viaf.org/viaf/295290572 https://www.wikidata.org/wiki/Q46405	G. E. C. Gad	   1860  	NA	nb	27645	NA	NA	M	short	high	T2
NOR0037_Bjornson_Arne_tekst	NOR0037	Bjørnson	Bjørnson, Bjørnstjerne Matrtinius 	Arne	1832	1910	https://viaf.org/viaf/295290572 https://www.wikidata.org/wiki/Q46405	NA	   1858  	NA	nb	86868	NA	NA	M	medium	high	T1
NOR0011_Blinda_tekst	NOR0011	Duun	Duun, Olav 	I blinda	1876	1939	https://viaf.org/viaf/66543636 https://www.wikidata.org/wiki/Q19376632	   Olaf Norlis Forlag  	NA	NA	nn	70379	NA	NA	M	medium	high	T4
NOR0028_Duun_Harald_tekst	NOR0028	Duun	Duun, Olav 	Harald	1876	1939	https://viaf.org/viaf/66543636 https://www.wikidata.org/wiki/Q19376632	   Olaf Norlis Forlag  	NA	NA	nn	47766	NA	NA	M	short	high	T4
NOR0003_Duun_Juvikingar_tekst	NOR0003	Duun	Duun, Olav 	Juvikingar	1876	1939	https://viaf.org/viaf/66543636 https://www.wikidata.org/wiki/Q19376632	   Olaf Norlis forlag  	NA	NA	nb	141891	NA	NA	M	long	high	T4
NOR0022_Garborg_FritForhold_tekst	NOR0022	Garborg	Garborg, Hulda 	Frit Forhold	1862	1934	https://viaf.org/viaf/79414014 https://www.wikidata.org/wiki/Q3143008	  Mons Litleré  	NA	NA	nb	35139	NA	NA	F	short	high	T3
NOR0063_Garborg_Eli_tekst	NOR0063	Garborg	Garborg, Hulda 	Eli	1862	1934	https://viaf.org/viaf/79414014 https://www.wikidata.org/wiki/Q3143008	   Aschehaug & Co (W. NyGaard)  	NA	NA	nb	54775	NA	NA	F	medium	low	T4
NOR0012_Garborg_Fred_tekst	NOR0012	Garborg	Garborg, Arne 	Fred	1851	1924	https://viaf.org/viaf/89613088 https://www.wikidata.org/wiki/Q467497	Aschehoug  (W. Nygaard)	1892	NA	nn	153296	NA	NA	M	long	high	T3
NOR0004_Garborg_Bondestudentar_tekst	NOR0004	Garborg	Garborg, Arne 	Bondestudentar	1851	1924	https://viaf.org/viaf/89613088 https://www.wikidata.org/wiki/Q467497	Aschehoug (W. Nygaard) 	1883	NA	nb	183721	NA	NA	M	long	high	T3
NOR0024_Garborg_FruEvasDagbog_tekst	NOR0024	Garborg	Garborg, Hulda 	Fru Evas Dagbog	1862	1934	https://viaf.org/viaf/79414014 https://www.wikidata.org/wiki/Q3143008	   H. Aschehaug & Co. (W. Nygaard)  	NA	NA	nb	39034	NA	NA	F	short	high	T4
NOR0013_Garborg_Mannfolk_tekst	NOR0013	Garborg	Garborg, Arne 	Mannfolk	1851	1924	https://viaf.org/viaf/89613088 https://www.wikidata.org/wiki/Q467497	Aschehoug (W. Nygaard) 	1886	NA	nn	60769	NA	NA	M	medium	high	T3
NOR0060_Jager_Syk_Kjerlihet_tekst	NOR0060	Jæger	Jæger, Hans Henrik 	Syk Kjærlihet	1854	1910	viaf:107037771 https://www.wikidata.org/wiki/Q924021	NA	   1893  	NA	nb	194753	NA	NA	M	long	high	T3
NOR0021_Jager_FraKB_tekst	NOR0021	Jæger	Jæger, Hans Henrik 	Fra Kristiania-Bohêmen	1854	1910	https://viaf.org/viaf/107037771 https://www.wikidata.org/wiki/Q924021	NA	1885  	NA	nb	133290	NA	NA	M	long	high	T3
NOR0061_Jager_Fengsel_og_fortvilelse_tekst	NOR0061	Jæger	Jæger, Hans Henrik 	Fængsel og fortvilelse	1854	1910	viaf:107037771 https://www.wikidata.org/wiki/Q924021	NA	   1902  	NA	nb	206289	NA	NA	M	long	high	T4
NOR0054_Ragnhild_Hollases_Kronike_tekst	NOR0054	Jølsen	Jølsen, Ragnhild 	Hollases Krønike	1875	1908	viaf:59886290 https://www.wikidata.org/wiki/Q2338861	   H. Aschehaug & Co. (W. Nygaard)  	NA	NA	nb	43315	NA	NA	F	short	high	T4
NOR0055_Ragnhild_Rikka_Gan_tekst	NOR0055	Jølsen	Jølsen, Ragnhild 	Rikka Gan	1875	1908	viaf:59886290 https://www.wikidata.org/wiki/Q2338861	NA	   1904  	NA	nb	27623	NA	NA	F	short	high	T4
NOR0056_Ragnhild_Fernanda_Mona_tekst	NOR0056	Jølsen	Jølsen, Ragnhild 	Fernanda Mona	1875	1908	viaf:59886290 https://www.wikidata.org/wiki/Q2338861	NA	   1905  	NA	nb	42198	NA	NA	F	short	high	T4
NOR0019_Kielland_SkipperWorse_tekst	NOR0019	Kielland	Kielland, Alexander 	Skipper Worse	1849	1906	https://viaf.org/viaf/54187212 https://www.wikidata.org/wiki/Q318358	   Gyldendalske Boghandels Forlag (F. Hegel & Søn)  	NA	NA	nb	53361	NA	NA	M	medium	high	T3
NOR0001_Kielland_GarmanOgWorse_tekst	NOR0001	Kielland	Kielland, Alexander 	Garman & Worse	1849	1906	https://viaf.org/viaf/54187212 https://www.wikidata.org/wiki/Q318358	   Gyldendalske Boghandels Forlag (F. Hegel & Søn)  	NA	NA	nb	66894	NA	NA	M	medium	high	T3
NOR0027_Kielland_Arbeidsfolk_tekst	NOR0027	Kielland	Kielland, Alexander 	Arbeidsfolk	1849	1906	https://viaf.org/viaf/54187212 https://www.wikidata.org/wiki/Q318358	Gyldendalske Boghandels Forlag (F. Hegel & Søn)	NA	NA	nb	56089	NA	NA	M	medium	high	T3
NOR0006_Lie_Familien_tekst	NOR0006	Lie	Lie, Jonas Lauritz 	Familien Paa Gilje	1833	1908	https://viaf.org/viaf/59124011 https://www.wikidata.org/wiki/Q469681	   unknown  	NA	NA	nb	51597	NA	NA	M	medium	high	T3
NOR0020_Lie_Lodsen_tekst	NOR0020	Lie	Lie, Jonas Lauritz 	Lodsen og hans Hustru	1833	1908	https://viaf.org/viaf/59124011 https://www.wikidata.org/wiki/Q469681	NA	1874  	NA	nb	64041	NA	NA	M	medium	high	T2
NOR0009_Lie_KommandorensDottre_tekst	NOR0009	Lie	Lie, Jonas Lauritz 	Kommandørens døtre	1833	1908	https://viaf.org/viaf/59124011 https://www.wikidata.org/wiki/Q469681	NA	1886  	NA	nb	130597	NA	NA	M	long	high	T3
