filename	xmlid	authorlabel	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
POL0003_balucki_przebudzeni	POL0003	Bałucki	Bałucki, Michał	Przebudzeni	1837	1901	http://viaf.org/viaf/70005089	NA	NA	NA	pl	49056	NA	NA	M	short	high	T2
POL0014_dmochowska_jak-odlamana-galaz	POL0014	Dmochowska	Dmochowska, Emma	Jak odłamana gałąź	1864	1919	http://viaf.org/viaf/163971581	NA	NA	NA	pl	50488	NA	NA	F	short	low	T4
POL0017_dolega-mostowicz_pamietnik-pani-hanki	POL0017	Dołęga	Dołęga, Tadeusz-Mostowicz	Pamiętnik pani Hanki	1898	1939	http://viaf.org/viaf/17325963	NA	NA	NA	pl	98286	NA	NA	M	long	high	T4
POL0024_dygasinski_wilk-psy-i-ludzie	POL0024	Dygasiński	Dygasiński, Adolf	Wilk, psy i ludzie	1839	1902	http://viaf.org/viaf/8187131	NA	NA	NA	pl	15086	NA	NA	M	short	low	T3
POL0027_godlewska-ludwika_po-zdrowie	POL0027	Godlewska	Godlewska, Ludwika	Po zdrowie	1863	1901	http://viaf.org/viaf/164716389	NA	NA	NA	pl	54876	NA	NA	F	medium	low	T3
POL0028_grabinski_namietnosc	POL0028	Grabiński	Grabiński, Stefan	Namiętność	1887	1936	http://viaf.org/viaf/8490048	NA	NA	NA	pl	12103	NA	NA	M	short	low	T4
POL0006_beczkowska_w-mieszczanskim-gniezdzie	POL0006	Grot-Bęczkowska	Grot-Bęczkowska, Wanda	W mieszczańskim gnieździe	1854	1925	http://viaf.org/viaf/187234530	NA	NA	NA	pl	53885	NA	NA	F	medium	low	T3
POL0037_kraszewski_hrabina-cosel	POL0037	Kraszewski	Kraszewski, Józef Ignacy	Hrabina Cosel	1812	1887	http://viaf.org/viaf/4965235	NA	NA	NA	pl	54208	NA	NA	M	medium	high	T2
POL0040_krzemieniecka_a-gdy-odejdzie	POL0040	Krzemieniecka	Krzemieniecka, Hanna	A gdy odejdzie w przepaść wieczną	1866	1930	http://viaf.org/viaf/166400239	NA	NA	NA	pl	54131	NA	NA	F	medium	low	T4
POL0047_marrene_mezowie-i-zony	POL0047	Marrené-Morzkowska	Marrené-Morzkowska, Waleria	Mężowie i żony	1832	1903	http://viaf.org/viaf/84265477	NA	NA	NA	pl	69608	NA	NA	F	medium	low	T2
POL0046_marrene_bozek-miljon	POL0046	Marrené-Morzkowska	Marrené-Morzkowska, Waleria	Bożek Miljon	1832	1903	http://viaf.org/viaf/84265477	NA	NA	NA	pl	50650	NA	NA	F	medium	low	T2
POL0054_morawska_wilcze-gniazdo	POL0054	Morawska	Morawska, Zuzanna	Wilcze gniazdo	1840	1922	NA	NA	NA	NA	pl	27412	NA	NA	F	short	low	T3
POL0062_prus_faraon	POL0062	Prus	Prus, Bolesław	Faraon	1847	1912	http://viaf.org/viaf/64016160	NA	NA	NA	pl	198296	NA	NA	M	long	high	T3
POL0063_prus_lalka	POL0063	Prus	Prus, Bolesław	Lalka	1847	1912	http://viaf.org/viaf/64016160	NA	NA	NA	pl	263173	NA	NA	M	long	high	T3
POL0069_rodziewiczowna_straszny-dziadunio	POL0069	Rodziewiczówna	Rodziewiczówna, Maria	Straszny dziadunio	1864	1944	http://viaf.org/viaf/101739597	NA	NA	NA	pl	35761	NA	NA	F	short	high	T3
POL0070_sienkiewicz_ogniem-i-mieczem	POL0070	Sienkiewicz	Sienkiewicz, Henryk	Ogniem i mieczem	1846	1916	http://viaf.org/viaf/24608122	NA	NA	NA	pl	281837	NA	NA	M	long	high	T3
POL0080_sygietynski_swiety-ogien	POL0080	Sygietyński	Sygietyński, Antoni	Święty ogień	1850	1923	http://viaf.org/viaf/54273263	NA	NA	NA	pl	40324	NA	NA	M	short	low	T4
POL0087_witkacy_pozegnanie-jesieni	POL0087	Witkiewicz	Witkiewicz, Stanisław Ignacy	Pożegnanie jesieni	1885	1939	http://viaf.org/viaf/88039095	NA	NA	NA	pl	128659	NA	NA	M	long	low	T4
POL0088_zapolska_kaska-kariatyda	POL0088	Zapolska	Zapolska, Gabriela	Kaśka Kariatyda	1857	1921	http://viaf.org/viaf/36937720	NA	NA	NA	pl	101834	NA	NA	F	long	high	T3
POL0045_lozinski-wladyslaw_oko-proroka	POL0045	Łoziński	Łoziński, Władysław	Oko proroka	1843	1913	http://viaf.org/viaf/56900155	NA	NA	NA	pl	81758	NA	NA	M	medium	low	T3
POL0043_lozinski-wladyslaw_czarne-godziny	POL0043	Łoziński	Łoziński, Władysław	Czarne godziny	1843	1913	http://viaf.org/viaf/56900155	NA	NA	NA	pl	81758	NA	NA	M	medium	low	T2
POL0078_swietochowski_twinko	POL0078	Świętochowski	Świętochowski, Aleksander	Twinko	1849	1938	http://viaf.org/viaf/22939255	NA	NA	NA	pl	45993	NA	NA	M	short	low	T4
POL0094_zmichowska_biala-roza	POL0094	Żmichowska	Żmichowska, Narcyza	Biała róża	1819	1876	http://viaf.org/viaf/19701612	NA	NA	NA	pl	50303	NA	NA	F	short	low	T1
POL0095_zmichowska_ksiazka-pamiatek	POL0095	Żmichowska	Żmichowska, Narcyza	Książka pamiątek	1819	1876	http://viaf.org/viaf/19701612	NA	NA	NA	pl	65589	NA	NA	F	medium	low	T1
