filename	xmlid	authorlabel	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
ROM017	ROM017	Bolintineanu	Bolintineanu, Dimitrie	Elena. Roman original de datine politic filosofic	1819	1872	NA	NA	1862	NA	ro	65702	NA	NA	M	medium	high	T2
ROM018	ROM018	Bolintineanu	Bolintineanu, Dimitrie	Doritorii nebuni	1819	1872	NA	NA	NA	NA	ro	60232	NA	NA	M	medium	low	T2
ROM016	ROM016	Bolintineanu	Bolintineanu, Dimitrie	Manoil	1819	1872	NA	NA	NA	NA	ro	36282	NA	NA	M	short	high	T1
ROM021	ROM021	Demetrius	Demetrius, V.	Păcatul Rabinului. Roman 	1878	1942	NA	NA	1920 (1920)	NA	ro	23575	NA	NA	M	short	low	T4
ROM020	ROM020	Demetrius	Demetrius, V.	Oraşul bucuriei. Roman 	1878	1942	NA	NA	1920 (1920)	NA	ro	42607	NA	NA	M	short	low	T4
ROM019	ROM019	Demetrius	Demetrius, V.	Matei Dumbărău. Roman 	1878	1942	NA	NA	1920	NA	ro	38783	NA	NA	M	short	low	T4
ROM015	ROM015	Ionescu	NA	Don Juanii din București	NA	NA	NA	NA	NA	NA	ro	22860	NA	NA	M	short	high	T2
ROM013	ROM013	Ionescu	NA	La Gura sobei	NA	NA	NA	NA	NA	NA	ro	56507	NA	NA	M	medium	high	T2
ROM014	ROM014	Ionescu	NA	Catastihul amorului	NA	NA	NA	NA	NA	NA	ro	26030	NA	NA	M	short	high	T2
ROM092	ROM092	Lecca	Lecca, Irina G.	Pe urma dragostei. Roman : ELTeC Edition	1881	1953	NA	NA	1910	NA	ro	39658	NA	NA	F	short	low	T4
ROM090	ROM090	Lecca	Lecca, Irina G.	Dreptul Vieței. Roman: ELTeC Edition	1881	1953	NA	NA	1908	NA	ro	36246	NA	NA	F	short	low	T4
ROM091	ROM091	Lecca	Lecca, Irina G.	Marcu Ulpiu Traian Stănoiu. Roman : ELTeC Edition	1881	1953	NA	NA	1920	NA	ro	42433	NA	NA	F	short	low	T4
ROM074	ROM074	Moruzi	Moruzi, Dumitru C.	Înstrăinaţii: ELTeC Edition	1850	1914	NA	NA	1910	NA	ro	117618	NA	NA	M	long	high	T4
ROM075	ROM075	Moruzi	Moruzi, Dumitru C.	Moartea lui Cain. Roman social: ELTeC Edition	1850	1914	NA	NA	1914	NA	ro	80132	NA	NA	M	medium	high	T4
ROM061	ROM061	Nadejde	Nadejde, Sofia	Robia banului. Roman	1856	1946	NA	NA	1906	NA	ro	107186	NA	NA	F	long	high	T4
ROM060	ROM060	Nadejde	Nadejde, Sofia	Patimi. Roman din viața românească	1856	1946	NA	NA	1903	NA	ro	127125	NA	NA	F	long	low	T4
ROM059	ROM059	Nadejde	Nadejde, Sofia	Părinți și Copii. Roman	1856	1946	NA	NA	1907	NA	ro	101267	NA	NA	F	long	low	T4
ROM008	ROM008	Popescu	Popescu, N.D.	Boierii haiduci. Nuvela originală compusă de N.D. Popescu cu patru ilustrațiuni	1843	1921	NA	NA	NA	NA	ro	31921	NA	NA	M	short	low	T3
ROM006	ROM006	Popescu	Popescu, N.D.	Iancu Jianu, Haiducul  	1843	1921	NA	NA	1873	NA	ro	117922	NA	NA	M	long	low	T2
ROM037	ROM037	Popescu	Popescu, N.D.	Radu Anghel, Căpitan de Tâlhari	1843	1921	NA	NA	1893(1903)	NA	ro	55720	NA	NA	M	medium	low	T3
ROM071	ROM071	Slavici	Slavici, Ioan	Mara. Roman: ELTeC Edition	1848	1925	NA	NA	1906	NA	ro	100098	NA	NA	M	long	high	T4
ROM073	ROM073	Slavici	Slavici, Ioan	Din două lumi. Narațiune: ELTeC Edition	1848	1925	NA	NA	1920	NA	ro	69929	NA	NA	M	medium	high	T4
ROM072	ROM072	Slavici	Slavici, Ioan	Din Bĕtrânĭ. Narațiune istorică: ELTeC Edition	1848	1925	NA	NA	1902	NA	ro	79106	NA	NA	M	medium	high	T4
ROM052	ROM052	Zamfirescu	Zamfirescu, Duiliu	TĂNASE SCATIU. Roman 	1858	1922	NA	NA	1907	NA	ro	28356	NA	NA	M	short	high	T4
ROM053	ROM053	Zamfirescu	Zamfirescu, Duiliu	În Războiu. Roman 	1858	1922	NA	NA	1902	NA	ro	51974	NA	NA	M	medium	low	T4
