lang,author,acc (mfw1640)
deu,Auerbach,1
deu,Dohm,1
deu,Ebner-Eschenbach,1
deu,Fontane,1
deu,François,1
deu,Marlitt,1
deu,May,1
deu,Raabe,1
deu,Reventlow,1
deu,Stifter,0.98
deu,Spielhagen,0.966666666666667
deu,Freytag,0.933333333333333
eng,Broughton,1
eng,Dickens,1
eng,Disraeli,1
eng,Ouida,1
eng,Trollope,1
eng,Yonge,1
eng,Nesbit,0.9
eng,Eliot,0.833333333333333
eng,Wells,0.833333333333333
eng,Ward,0.566666666666667
fra,Balzac,1
fra,Flaubert,1
fra,Gouraud,1
fra,Sand,1
fra,Féval,0.966666666666667
fra,Gautier,0.966666666666667
fra,Gréville,0.966666666666667
fra,Fleuriot,0.933333333333333
fra,Malot,0.7
fra,Ohnet,0.7
hun,GárdonyiGéza,1
hun,JósikaJúlia,1
hun,KeményZsigmond,1
hun,MikszáthKálmán,1
hun,NagyIgnác,1
hun,VachottSándorné,1
hun,VasGereben,1
hun,JókaiMór,0.866666666666667
hun,EötvösJózsef,0.8
nor,Duun,1
nor,Jølsen,1
nor,Kielland,1
nor,Krag,1
nor,Skram,1
nor,Undset,1
nor,Lie,0.9
nor,Finne,0.866666666666667
nor,Garborg,0.75
nor,Jæger,0.7
nor,Bjørnson,0.666666666666667
pol,Domańska,1
pol,Godlewska,1
pol,Grabiński,1
pol,Grot-Bęczkowska,1
pol,Korzeniowski,1
pol,Kraszewski,1
pol,Krzemieniecka,1
pol,Marrené-Morzkowska,1
pol,Mniszek,1
pol,Morawska,1
pol,Papi,1
pol,Strug,1
pol,Świętochowski,1
pol,Weyssenhoff,1
pol,Witkiewicz,1
pol,Zapolska,1
pol,Żeromski,1
pol,Żmichowska,1
pol,Dołęga,0.966666666666667
pol,Orzeszkowa,0.966666666666667
pol,Prus,0.966666666666667
pol,Berent,0.933333333333333
pol,Kaczkowski,0.933333333333333
pol,Dmochowska,0.9
pol,Dygasiński,0.866666666666667
pol,Żuławski,0.733333333333333
pol,Łoziński,0.666666666666667
pol,Reymont,0.666666666666667
pol,Rodziewiczówna,0.666666666666667
pol,Sienkiewicz,0.566666666666667
pol,Sygietyński,0.433333333333333
pol,Łuszczewska,0.4
pol,Bałucki,0.166666666666667
por,Barata,1
por,Botelho,1
por,Brandão,1
por,Dinis,1
por,Herculano,1
por,CastroOsório,0.9
por,Pimentel,0.766666666666667
por,CasteloBranco,0.733333333333333
por,EçadeQueirós,0.666666666666667
rom,Demetrius,1
rom,Lecca,1
rom,Moruzi,1
rom,Nadejde,1
rom,Bolintineanu,0.966666666666667
rom,Ionescu,0.966666666666667
rom,Pop-Florantin,0.966666666666667
rom,Popescu,0.8
rom,Zamfirescu,0.8
rom,Slavici,0.766666666666667
